order_number,order_date,user_id,product_name,product_category,RSP,actual_product_price,quantity,order_total,discount_applied_currency
ORD-490959,2025/05/22 07:33,U10464,,Textile,"€149,50",105$,3,323.94,
ORD-380740,2025-05-27 03:35:32,U10471,Urban Chair,chair,€129.99,97€,2,194.98,$65.00
ORD-313275,2025-07-26T09:12:49Z,U10267,stool pop,CHAIR ,49.99,44.99€,2,99.97€,10.00
ORD-535805,2025/08/03 02:13,U10102,chair urban,,129.99,103.99$,1,103.99$,26.00€
ORD-175885,2025/09/02 02:18,U10133,stool,CHAIRS,€49.99,40$,1,"€34,99",10.00
ORD-165711,2025/09/27 16:34,U10045,LAMP AURA,lighting,59.90$,41.93$,1,51.92$,€ 17.97
ORD-770416,07/06/2025 09:38 PM,U10147,ERGO DESK,,$499.00,399.20,1,"$394,20",99.80
ORD-247515,26/07/2025 17:36,U10123,MATTRESS AIR,Bed room,"$399,00",339.15,2,"€683,29","$119,70"
ORD-718288,2025-05-27 11:09:44,U10352,Mattress Air,bedroom,399$,319$,2,€ 643.39,€159.60
ORD-427176,2025/07/02 14:16,U10230,BEDFRAME OAK,BEDROOM,€699.00,$ 664.05,1,€ 664.05,
ORD-526294,2025-08-24T04:38:10Z,U10343,Oak Bedframe,Bedroom ,"€699,00",489.30$,1,€489.30,
ORD-808082,06/29/2025 06:27 PM,U10384,Ergo Desk,,499$,€374.25,1,$379.24,"$124,75"
ORD-644532,03/10/2025 13:14,U10420,Lamp Aura,LIGHTING,59.90,€41.93,3,131$,
ORD-421647,10/07/2025 01:55,U10369,lamp aura,LIGHTING,59.90€,53.91€,2,"$112,81",11.98
ORD-548996,06/15/2025 08:46 AM,U10098,Slim Bookshelf,STORAGE,189.00$,151$,2,302.40,"€75,60"
ORD-450862,2025-05-16 14:15:50,U10076,ERGO DESK,desk ,499.00$,424.15$,1,€ 419.15,75$
ORD-915220,10/13/2025 01:04 AM,U10166,NORDIC TABLE,tables,349.00$,314.10,2,623.20€,69.80$
ORD-185769,07/10/2025 05:19 PM,U10185,chair,CHAIRS,130$,$ 116.99,2,228.98$,26€
ORD-925573,2025-08-15 04:46:55,U10320,stool,Chairs,49.99,$39.99,2,89.97€,20€
ORD-743348,26/08/2025 07:17,U10132,Urban Chair,CHAIR ,€129.99,€116.99,2,234$,€ 26.00
ORD-272435,14-09-2025 01:55,U10167,stool pop,CHAIRS,$49.99,35€,3,$ 114.96,
ORD-573429,16-06-2025 14:49,U10462,URBAN CHAIR,CHAIRS,$129.99,"€103,99",2,€207.98,52.00
ORD-385104,25-09-2025 00:40,U10098,lamp aura,LIGHTING,$59.90,€56.90,1,52$,
ORD-718990,2025-09-13 05:04:43,U10372,STOOL POP,CHAIRS,50$,37€,3,112.47,€ 37.50
ORD-417051,2025/10/09 18:58,U10100,mattress air,Bedroom,399€,299.25€,1,$299.25,"€99,75"
ORD-202509,2025-09-28T09:04:17Z,U10278,NORDIC TABLE,Table,"€349,00",€244.30,3,€ 732.90,314.10
ORD-990380,2025-08-30 14:38:03,U10252,lamp aura,light ,€59.90,"$50,91",2,111.81,$17.98
ORD-349003,2025-06-19T02:45:53Z,U10073,COUCH,sofa,"$799,99",799.99$,3,"2,409.96$",0.00
ORD-726220,2025/05/08 14:05,U10309,BEDFRAME OAK,Bed room,€699.00,"€559,20",2,"€ 1,118.40",280$
ORD-570029,2025/08/30 04:56,U10032,bookshelf slim,storage,189€,179.55,1,€184.54,9.45
ORD-925704,2025/08/18 13:43,U10419,Nordic Table,Table,$349.00,314.10$,1,€314.10,
ORD-679038,2025/06/12 19:53,U10208,table,TABLES,"€349,00",$331.55,1,"€336,54",€17.45
ORD-799414,11/09/2025 23:22,U10489,chair urban,CHAIRS,€129.99,"$123,49",1,133.48,6$
ORD-124882,07/16/2025 07:16 AM,U10265,cozy couch,SOFAS,€ 799.99,559.99,1,"$569,98",$ 240.00
ORD-806881,26-06-2025 03:56,U10415,URBAN CHAIR,chair,130€,97.49,2,€194.98,65.00
ORD-114408,07-09-2025 21:45,U10420,Comfy Rug,textiles,€ 149.50,119.60$,2,249€,$ 59.80
ORD-169916,10/16/2025 10:18 PM,U10285,rug comfy,Textile,150€,149.50$,2,294$,0.00€
ORD-636900,2025/07/26 15:50,U10266,lamp aura,light ,59.90$,$44.92,1,39.92,14.98€
ORD-843899,2025-07-07 06:16:15,U10334,Slim Bookshelf,Storage  ,"$189,00",189€,2,388€,
ORD-808477,06/10/2025 17:29,U10247,NORDIC TABLE,table ,$349.00,€ 279.20,1,284$,69.80
ORD-191239,17-05-2025 23:00,U10307,NORDIC TABLE,tables,349€,349€,1,353.99€,$0.00
ORD-258569,2025-07-02T06:07:38Z,U10197,desk,desks,499€,$499.00,1,€499.00,
ORD-852816,08-06-2025 14:49,U10056,ERGO DESK,DESKS,499.00€,"€424,15",3,1272.45,224.55€
ORD-398701,2025-10-02T04:24:42Z,U10165,Air Mattress,Bedroom,399.00$,€279.30,1,289$,120$
ORD-127790,23-06-2025 07:55,U10498,RUG COMFY,Textile,149.50€,149.50€,1,149.50,0€
ORD-358027,01/07/2025 06:16,U10425,RUG COMFY,textiles ,149.50,142$,1,137€,€7.47
ORD-910453,2025-05-10T13:07:48Z,U10139,bedframe oak,BEDROOM,699$,$ 489.30,1,489$,209.70€
ORD-621071,2025-09-13 00:20:27,U10064,lamp,lighting,60€,41.93$,3,136$,53.91$
ORD-431268,05/20/2025 08:38 AM,U10241,BEDFRAME OAK,Bed room,699$,$ 664.05,1,$ 669.04,$ 34.95
ORD-123456,05/04/2025 12:21 PM,U10083,COUCH,sofa,799.99€,720€,2,1435€,160.00
ORD-369904,06/16/2025 10:46 PM,U10461,stool,Chairs,$49.99,34.99€,1,"€39,98",15$
ORD-858161,2025-08-25T21:50:48Z,U10265,bookshelf,storage,189.00€,€170.10,2,345$,
ORD-852634,2025-09-04T12:57:50Z,U10357,bookshelf slim,Storag,189.00$,€170.10,1,,18.90€
ORD-232645,2025/08/04 07:04,U10226,bookshelf slim,Storag,189.00,151$,1,151.20,
ORD-689605,04/08/2025 02:07,U10148,Stool Pop,Chairs,€ 49.99,"€47,49",1,57.48,
ORD-327265,08/07/2025 07:41 PM,U10279,Cozy Couch,sofas,"€799,99",€639.99,1,640$,$ 160.00
ORD-327794,17-08-2025 03:28,U10369,bookshelf slim,Storage,$ 189.00,151$,3,464$,113€
ORD-207696,2025-05-21T01:16:11Z,U10019,bedframe oak,Bed room,$ 699.00,489$,3,"$1,467.90",€ 629.10
ORD-267595,08-10-2025 15:44,U10008,Lamp Aura,LIGHTING,59.90,€ 44.92,1,45$,15$
ORD-271016,,U10296,Pop Stool,chairs,50$,$ 34.99,2,$ 74.97,€30.00
ORD-890573,2025-05-16T12:09:14Z,U10346,Bedframe Oak,bedroom,€ 699.00,"$664,05",2,"$1,333.09",€69.90
ord_69857,,U10266,bedframe oak,Bed room,€699.00,664.05$,3,"1,997.14$",104.85
ORD-967466,27/06/2025 15:16,U10375,NORDIC TABLE,Table,349.00,349.00,1,354$,€ 0.00
ORD-482483,06/16/2025 03:08 AM,U10392,Oak Bedframe,Bed room,$ 699.00,699.00€,2,"$1393,00",€0.00
ORD-482236,2025-09-14 15:22:18,U10289,rug comfy,TEXTILES,€ 149.50,112€,3,"€341,35",112$
ORD-138946,2025-10-16 11:50:38,U10327,urban chair,chair,"$129,99",129.99,1,130$,$ 0.00
ORD-193594,09/05/2025 07:33 AM,U10465,lamp,Lighting,59.90,"$53,91",2,107.82€,
ORD-248884,2025-07-17T06:14:35Z,U10382,desk,desks,€499.00,474.05,2,€958.09,
ORD-393395,2025-09-18T10:35:47Z,U10133,COZY COUCH,Sofas,"€799,99",639.99,1,640€,
ORD-679909,2025-08-14 13:57:51,U10404,STOOL POP,CHAIR ,"€49,99",$47.49,1,$ 47.49,€ 2.50
ORD-192820,2025-06-14 02:50:06,U10016,Bedframe Oak,Bedroom ,$ 699.00,"€594,15",2,1193$,210$
ORD-675123,2025/05/08 03:24,U10441,COUCH,sofa,799.99$,€ 719.99,3,,240.00
ORD-208890,2025/07/07 01:10,U10168,Cozy Couch,Sofa ,799.99,560€,3,1675€,
ORD-293017,07-10-2025 03:59,U10459,table,Tables,$349.00,"$279,20",1,279.20€,70€
ORD-603601,2025-05-07 23:01:06,U10170,Desk Ergo,DESKS,499.00,"€399,20",2,€798.40,$199.60
ORD-962941,08-08-2025 06:27,U10245,LAMP AURA,Lighting,"€59,90",$47.92,1,57.91,
ORD-466562,25/06/2025 08:12,U10132,,Bedroom ,"€699,00",€559.20,2,1123.39,280€
ORD-338091,2025/06/28 21:42,U10226,table,Tables,349.00,€331.55,1,"€336,54",17€
ORD-765904,08/18/2025 01:19 PM,U10419,Bedframe Oak,bedroom,699$,"$489,30",3,1477.89,$ 629.10
ORD-394322,09-06-2025 09:31,U10112,Desk Ergo,DESKS,$ 499.00,"€374,25",1,374.25,124.75
ORD-642727,2025-06-16 23:17:51,U10003,rug,Textile,149.50$,104.65,1,$ 99.65,44.85
ORD-133212,2025-05-30T05:22:56Z,U10326,Ergo Desk,DESKS,499$,349.30$,2,€708.59,299.40$
ORD-874167,19/07/2025 00:46,U10215,BEDFRAME OAK,,699.00$,$ 594.15,1,$594.15,$104.85
ORD-319904,2025-10-01T10:53:03Z,U10008,mattress,bedroom,399€,399.00$,1,403.99,
ORD-956807,2025-05-09T01:35:33Z,U10214,ERGO DESK,Desks,€ 499.00,€ 474.05,2,"$943,10","$49,90"
ORD-198321,2025-05-23T20:09:00Z,U10429,STOOL POP,chairs,50€,47€,1,€ 57.48,2€
ORD-970795,20/09/2025 05:15,U10203,URBAN CHAIR,,$ 129.99,€ 97.49,1,102$,€32.50
ORD-748509,08/09/2025 11:08 PM,U10438,Lamp Aura,LIGHTING,59.90€,60$,1,54.90,0.00€
ORD-626470,05/23/2025 01:42 PM,U10431,Mattress Air,BEDROOM,"$399,00",399.00,1,€ 408.99,0.00
ORD-739247,13/09/2025 03:28,U10457,BEDFRAME OAK,bedroom,699.00,664.05$,2,"$ 1,338.09",69.90$
ORD-811148,2025-05-10T19:33:37Z,U10044,bed,Bedroom,"$699,00",594€,1,589.15€,
ORD-202708,26/06/2025 14:11,U10263,STOOL POP,chair,$49.99,"€47,49",1,€ 47.49,
ORD-159223,09/07/2025 03:38,U10036,ergo desk,Desks,€ 499.00,$ 349.30,1,349.30€,149.70
ORD-123456,10/18/2025 05:45 PM,U10325,Couch Cozy,sofas,799.99€,$ 759.99,3,"€2,284.96",120.00€
ORD-394458,28/06/2025 23:51,U10003,Urban Chair,Chairs,129.99$,€123.49,1,133.48,6.50
ORD-809609,2025-06-12 17:16:47,U10405,Aura Lamp,light ,59.90,48$,2,90.84$,
ORD-554769,09/16/2025 05:39 PM,U10363,COUCH,Sofa ,€ 799.99,$679.99,1,€ 679.99,€ 120.00
ORD-460832,2025-09-19 10:04:35,U10327,Table Nordic,Table,349.00,279.20$,2,558.40$,
ORD-481111,2025-08-06T19:03:02Z,U10417,lamp,Light,59.90,59.90€,1,64.89,$0.00
ORD-215815,04/21/2025 09:55 PM,U10328,COZY COUCH,Sofas,€ 799.99,$ 719.99,3,"2,159.97$","$240,00"
ORD-326964,14/08/2025 04:18,U10198,MATTRESS AIR,Bedroom ,399€,339.15,1,,"€59,85"
ORD-275811,2025-05-17 15:18:40,U10130,URBAN CHAIR,Chairs,€ 129.99,€97.49,3,302.46$,
ORD-783675,2025-09-03T01:15:23Z,U10106,stool,CHAIR ,$ 49.99,"$34,99",2,$ 79.97,
ORD-641887,2025-06-17 11:19:50,U10067,Ergo Desk,Desk,499$,€424.15,1,424.15$,74.85€
ORD-725667,2025-07-31 17:51:49,U10160,rug,Textiles,150€,149.50,2,€294.00,0.00
ORD-941456,2025/08/29 11:54,U10151,urban chair,Chairs,$ 129.99,€110.49,1,110.49,19.50€
ORD-828597,2025-06-25 07:59:33,U10132,mattress,Bedroom ,€ 399.00,379.05€,1,"$384,04",20€
ORD-983994,2025-08-07 04:32:55,U10487,chair urban,CHAIRS,130€,€97.49,3,302.46$,"$97,50"
ORD-913674,01-07-2025 12:45,U10251,desk,DESKS,"$499,00",424.15$,1,419.15,€ 74.85
ORD-897373,11-08-2025 15:56,U10476,lamp aura,lighting,$59.90,53.91,3,€161.73,17.97
ORD-198626,2025-09-11T21:56:27Z,U10444,Nordic Table,Table,349€,"$261,75",1,€266.74,87.25
ORD-132314,2025/10/03 01:51,U10193,table,TABLES,€349.00,261.75,3,,"€261,75"
ORD-665341,2025-04-22T09:39:08Z,U10013,ERGO DESK,DESKS,499.00,€ 474.05,2,953€,49.90
ORD-705979,2025/08/07 17:47,U10181,Slim Bookshelf,Storag,$ 189.00,179.55€,3,543.64$,€ 28.35
ORD-117031,2025-05-09 03:11:12,U10317,lamp aura,LIGHTING,"€59,90",47.92$,3,"€153,75",35.94€
ORD-139093,15/07/2025 13:49,U10099,stool pop,chairs,€ 49.99,"$44,99",3,145€,15.00$
ORD-491347,07-08-2025 15:11,U10436,Mattress Air,BEDROOM,"$399,00",279.30$,2,$ 553.60,239€
ORD-936941,05/26/2025 09:29 AM,U10464,Couch Cozy,SOFAS,799.99,$ 559.99,2,1120$,$ 480.00
ORD-712622,,U10488,Cozy Couch,Sofas,799.99,$559.99,2,1120$,"$480,00"
ORD-200581,06/18/2025 02:16 PM,,rug comfy,TEXTILES,$ 149.50,$ 149.50,3,$458.49,"$0,00"
ORD-425967,2025-10-01 14:13:23,U10404,lamp,Light,"€59,90",$50.91,1,$60.90,
ORD-892272,07/05/2025 09:37,U10430,Rug Comfy,Textile,149.50,$ 112.12,1,112.12,37.38$
ORD-706187,2025-07-18T15:13:38Z,U10250,Nordic Table,TABLES,349.00,297$,2,$ 593.30,
ORD-813034,2025-07-12T00:48:56Z,U10382,lamp,Light,€ 59.90,53.91,1,63.90€,"€5,99"
ORD-568189,2025-10-09T10:07:27Z,U10229,Aura Lamp,lighting,60€,$ 41.93,1,36.93,€ 17.97
ORD-743066,07/10/2025 21:00,U10319,bed,bedroom,699.00,"$489,30",1,494.29€,210$
ORD-184428,2025/08/15 13:19,U10202,Rug Comfy,textiles,€149.50,€127.08,1,€ 132.07,
ORD-650852,18/10/2025 10:05,U10139,BOOKSHELF SLIM,STORAGE,189$,170.10,1,€165.10,
ORD-479241,22-08-2025 10:21,U10184,stool,CHAIR ,$49.99,€ 34.99,3,104.97,$ 45.00
ORD-545697,2025-04-21T22:01:55Z,U10328,Bookshelf Slim,storage,189.00,$ 160.65,2,316.30,56.70
ORD-171092,17-10-2025 19:08,U10371,Mattress Air,BEDROOM,$399.00,"$299,25",2,603.49,€ 199.50
ORD-494365,17-05-2025 21:13,U10099,urban chair,Unknown,129.99$,104$,2,"$202,98",
ORD-604208,08/25/2025 09:52 PM,U10265,Aura Lamp,Light,"$59,90",41.93€,2,83.86€,$35.94
ORD-466227,2025-09-17T17:29:18Z,U10097,ERGO DESK,desks,"$499,00",€ 399.20,1,399.20,99.80€
ORD-461928,06/08/2025 03:13,U10307,Urban Chair,CHAIR ,€ 129.99,110.49,2,220.98€,"€39,00"
ORD-737813,2025-09-20T19:52:03Z,U10235,Nordic Table,table ,349.00$,349.00$,3,"$1,051.99","€0,00"
ORD-165821,2025/06/18 07:51,U10370,LAMP AURA,Lighting,€59.90,"$41,93",1,41.93,"$17,97"
ORD-878025,09/13/2025 12:16 AM,U10064,bookshelf,Storage  ,189.00,€ 189.00,2,€378.00,$0.00
ORD-862010,26-08-2025 06:35,U10005,Cozy Couch,sofa,799.99€,559.99,3,"$1689,96",720.00$
ORD-620690,01-08-2025 17:40,U10015,Lamp Aura,LIGHTING,60$,44.92€,1,$44.92,
ORD-870720,27-08-2025 08:14,U10419,Ergo Desk,desks,499.00,"€399,20",2,798.40,199.60
ORD-538838,05/06/2025 06:33 PM,U10122,Table Nordic,table ,$349.00,314$,1,309.10,
ORD-616043,2025/07/29 06:55,U10205,Aura Lamp,LIGHTING,€59.90,48€,2,91€,23.96€
ORD-393016,03-06-2025 01:44,U10325,,Bedroom ,"€399,00",339.15,1,$ 334.15,59.85
ORD-866589,06-05-2025 22:27,U10169,bookshelf,Unknown,189$,160.65,2,€ 331.29,56.70
ORD-654403,10/07/2025 23:27,U10396,mattress air,Bedroom ,399.00€,339.15,3,"€1,027.44",179.55€
ORD-608515,07/27/2025 08:21 PM,U10077,Slim Bookshelf,storage,189.00,$ 141.75,2,,$ 94.50
ORD-925535,07/05/2025 06:31 AM,U10283,desk,Desk,$499.00,449.10,3,"$ 1,352.29",149.70
ORD-748878,06/28/2025 03:56 AM,,chair urban,chairs,"$129,99",€ 90.99,2,187$,78.00$
ORD-163989,27-06-2025 08:34,U10462,Mattress Air,bedroom,"€399,00",279.30€,1,$ 284.29,"€119,70"
ORD-557067,04/23/2025 06:21 PM,U10142,,Bedroom,$ 399.00,€279.30,1,279.30$,119.70
ORD-385805,23-08-2025 09:26,U10342,Desk Ergo,Desks,499.00,449.10,1,454€,€49.90
ORD-260596,07/14/2025 02:04 PM,U10046,urban chair,CHAIR ,"€129,99",103.99,3,€ 321.96,€78.00
ORD-372442,07/09/2025 03:43 AM,U10036,rug,,150€,$142.03,2,€ 279.06,15€
ORD-455523,2025-05-03T12:30:57Z,U10221,bookshelf slim,Storage  ,189.00,"$151,20",1,161$,"$37,80"
ORD-932350,2025/09/27 01:23,U10363,Pop Stool,CHAIR ,$ 49.99,44.99€,3,€ 144.96,$ 15.00
ORD-722583,07/11/2025 05:07 AM,U10453,Ergo Desk,Desks,"€499,00",474.05$,1,474.05,24.95
ORD-459251,07/07/2025 10:09 PM,,Slim Bookshelf,Storage  ,€ 189.00,189.00$,1,184.00€,"$0,00"
ORD-726843,2025-06-06 23:31:55,U10125,Desk Ergo,Desk,499.00,424.15€,3,"1,272.45$",224.55€
ORD-519899,2025-10-04T13:20:10Z,U10057,Bedframe Oak,bedroom,699.00,"€699,00",1,€ 694.00,0.00
ORD-138880,2025-09-13 03:15:11,U10457,Ergo Desk,Desks,499.00,€374.25,2,748.50,250€
ORD-429059,05/07/2025 06:48,U10283,NORDIC TABLE,table ,349$,279.20,1,"€284,19",70€
ORD-160600,15/06/2025 08:32,U10098,Rug Comfy,TEXTILES,€ 149.50,€149.50,2,299.00$,€ 0.00
ORD-335946,13-07-2025 22:15,U10116,Rug Comfy,textiles,149.50,105€,3,"€313,95","$134,55"
ORD-593748,2025/05/26 05:44,U10175,rug,textiles ,149.50€,142.03€,3,€426.09,22.41
